candidate_name,party,vote_share,vote_share_bucket,st_name,st_no,ac_name,ac_no,margin,margin_bucket,gender,age,age_bucket,criminal,criminal_cases,assets,assets_bucket
Pardeep Chaudhary,INC,45.26,Less than 50%,Haryana,S07,Kalka,1,5931,5001 - 10000,male,58,40 - 60,1,Yes,144677698,10Cr - 50Cr
Gian Chand Gupta,BJP,48.84,Less than 50%,Haryana,S07,Panchkula,2,5633,5001 - 10000,male,71,More than 60,0,No,119188025,10Cr - 50Cr
Shalley,INC,39.56,Less than 50%,Haryana,S07,Naraingarh,3,20600,>10000,female,53,40 - 60,0,No,534122557,More than 50Cr
Anil Vij,BJP,53.04,More than 50%,Haryana,S07,Ambala Cantt.,4,20165,>10000,male,66,More than 60,0,No,10361794,Less than 10Cr
Aseem Goel Naneola,BJP,42.2,Less than 50%,Haryana,S07,Ambala City,5,8952,5001 - 10000,male,39,Less than 40,0,No,52508361,Less than 10Cr
Varun Chaudhary,INC,43.6,Less than 50%,Haryana,S07,Mulana (SC),6,1688,<5000,male,39,Less than 40,0,No,60768885,Less than 10Cr
Renu Bala,INC,40.01,Less than 50%,Haryana,S07,Sadhaura (SC),7,17020,>10000,female,39,Less than 40,0,No,20614464,Less than 10Cr
Kanwar Pal,BJP,38.88,Less than 50%,Haryana,S07,Jagadhri,8,16373,>10000,male,59,40 - 60,0,No,39151319,Less than 10Cr
Ghanshyam Dass,BJP,43.02,Less than 50%,Haryana,S07,Yamunanagar,9,1455,<5000,male,67,More than 60,0,No,76846845,Less than 10Cr
Bishan Lal,INC,38.05,Less than 50%,Haryana,S07,Radaur,10,2541,<5000,male,64,More than 60,0,No,32963494,Less than 10Cr
Mewa Singh,INC,41.86,Less than 50%,Haryana,S07,Ladwa,11,12637,>10000,male,60,40 - 60,0,No,45426454,Less than 10Cr
Ram Karan,JJP,55.35,More than 50%,Haryana,S07,Shahbad,12,37127,>10000,male,50,40 - 60,1,Yes,26725296,Less than 10Cr
Subhash Sudha,BJP,43.03,Less than 50%,Haryana,S07,Thanesar,13,842,<5000,male,55,40 - 60,0,No,53259164,Less than 10Cr
Sandeep Singh,BJP,34.69,Less than 50%,Haryana,S07,Pehowa,14,5314,5001 - 10000,male,33,Less than 40,0,No,25789402,Less than 10Cr
